,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2004-05,2005,Ben Gordon,-1.0,0.0,0.0,0.0,false,3.0,0.0,500.0,21,CHI,NBA,SG,82,3,24.4,5.3,12.9,0.411,1.6,4.0,0.405,3.7,8.8,0.414,0.474,2.8,3.3,0.863,0.7,2.0,2.6,2.0,0.6,0.1,2.3,2.7,15.1,2002,11.3,27.4,0.411,3.5,8.6,0.405,7.8,18.8,0.414,6.0,7.0,0.863,1.4,4.1,5.6,4.3,1.4,0.3,4.8,5.8,32.0,100,103,2002,14.9,0.526,0.313,0.256,3.1,8.9,6.0,16.3,1.4,0.4,13.7,30.4,0.8,2.7,3.5,0.084,1.0,-0.3,0.7,1.4,82.0,19830,2849,6592,0.432,511,1433,0.357,2338,5159,0.453,1536,2048,0.75,1001,2591,3592,1743,576,369,1371,2028,7745,82.0,19830,2763,6548,0.422,416,1245,0.334,2347,5303,0.443,1716,2305,0.744,979,2524,3503,1715,685,434,1272,1914,7658,47,35,44,38,1.06,-0.41,0.65,101.4,100.3,92.4,0.311,0.217,0.471,15.5,28.4,0.233,0.454,14.4,72.6,0.262,United Center,828384
1,2005-06,2006,Ben Gordon,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,22,CHI,NBA,SG,80,47,31.0,6.1,14.4,0.422,2.1,4.8,0.435,4.0,9.6,0.416,0.494,2.6,3.4,0.787,0.5,2.2,2.7,3.0,0.9,0.1,2.3,3.0,16.9,2482,10.1,24.0,0.422,3.5,7.9,0.435,6.7,16.0,0.416,4.4,5.6,0.787,0.9,3.7,4.6,5.0,1.6,0.1,3.7,5.0,28.1,102,106,2482,14.5,0.531,0.332,0.233,2.0,8.1,5.1,17.3,1.6,0.2,12.4,26.3,1.8,2.6,4.4,0.086,0.7,-0.3,0.5,1.6,82.0,19905,3004,6737,0.446,560,1477,0.379,2444,5260,0.465,1452,1967,0.738,906,2602,3508,1804,508,345,1224,2038,8020,82.0,19905,2773,6515,0.426,501,1428,0.351,2272,5087,0.447,1921,2472,0.777,881,2541,3422,1652,611,420,1228,1883,7968,41,41,43,39,0.63,-0.12,0.51,104.0,103.4,92.9,0.292,0.219,0.487,13.9,26.3,0.216,0.464,13.9,74.7,0.295,United Center,868720
2,2006-07,2007,Ben Gordon,-1.0,0.0,0.0,0.0,false,3.0,0.0,500.0,23,CHI,NBA,SG,82,51,33.0,7.4,16.3,0.455,1.9,4.6,0.413,5.5,11.7,0.471,0.513,4.6,5.4,0.864,0.4,2.7,3.1,3.6,0.8,0.2,3.0,3.1,21.4,2704,11.5,25.4,0.455,2.9,7.1,0.413,8.6,18.3,0.471,7.2,8.3,0.864,0.7,4.2,4.9,5.6,1.2,0.3,4.7,4.8,33.2,108,103,2704,18.2,0.572,0.28,0.329,1.5,9.3,5.4,20.1,1.2,0.5,14.0,29.3,4.7,3.9,8.6,0.152,2.5,-0.1,2.4,3.0,82.0,19780,3046,6663,0.457,480,1237,0.388,2566,5426,0.473,1528,2083,0.734,984,2597,3581,1832,639,445,1310,1908,8100,82.0,19780,2793,6416,0.435,484,1387,0.349,2309,5029,0.459,1619,2219,0.73,897,2456,3353,1675,614,433,1429,1900,7689,49,33,55,27,5.01,-0.49,4.52,104.9,99.6,93.6,0.313,0.186,0.493,14.7,28.6,0.229,0.473,16.2,74.3,0.252,United Center,912364
3,2007-08,2008,Ben Gordon,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,CHI,NBA,SG,72,27,31.8,6.4,14.8,0.434,2.0,4.8,0.41,4.5,10.0,0.445,0.5,3.7,4.1,0.908,0.6,2.5,3.1,3.0,0.8,0.1,2.1,2.4,18.6,2291,10.4,24.1,0.434,3.2,7.8,0.41,7.3,16.3,0.445,6.0,6.6,0.908,0.9,4.1,5.0,4.8,1.2,0.2,3.4,3.9,30.1,110,111,2291,16.4,0.558,0.324,0.274,1.9,9.2,5.4,16.9,1.2,0.3,11.1,26.0,3.6,1.4,5.1,0.106,2.1,-1.2,0.9,1.7,82.0,19805,2987,6861,0.435,474,1305,0.363,2513,5556,0.452,1533,2029,0.756,1050,2478,3528,1811,635,429,1197,1784,7981,82.0,19805,2982,6583,0.453,571,1522,0.375,2411,5061,0.476,1699,2217,0.766,914,2582,3496,1794,648,465,1254,1746,8234,33,49,32,50,-3.09,-0.11,-3.19,103.9,107.2,93.0,0.296,0.19,0.47,13.4,28.9,0.223,0.496,14.2,73.1,0.258,United Center,901502
4,2008-09,2009,Ben Gordon,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,CHI,NBA,SG,82,76,36.6,7.3,16.0,0.455,2.1,5.1,0.41,5.2,10.9,0.476,0.521,4.0,4.7,0.864,0.6,2.8,3.5,3.4,0.9,0.3,2.4,2.2,20.7,2999,10.3,22.6,0.455,3.0,7.3,0.41,7.3,15.4,0.476,5.7,6.6,0.864,0.9,4.0,4.9,4.8,1.2,0.4,3.4,3.2,29.2,112,112,2999,17.0,0.573,0.321,0.29,2.0,8.8,5.4,15.9,1.2,0.5,11.9,25.0,5.2,1.7,6.9,0.11,2.4,-1.3,1.1,2.3,82.0,19930,3126,6846,0.457,493,1293,0.381,2633,5553,0.474,1633,2052,0.796,970,2481,3451,1732,615,453,1192,1709,8378,82.0,19930,3141,6864,0.458,486,1400,0.347,2655,5464,0.486,1633,2077,0.786,1017,2491,3508,1723,622,449,1177,1708,8401,41,41,40,42,-0.28,0.12,-0.16,108.4,108.7,93.1,0.3,0.189,0.493,13.3,28.0,0.239,0.493,13.1,70.9,0.238,United Center,868667
5,2009-10,2010,Ben Gordon,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,26,DET,NBA,SG,62,17,27.9,4.7,11.3,0.416,1.2,3.8,0.321,3.5,7.5,0.465,0.47,3.2,3.7,0.861,0.4,1.5,1.9,2.7,0.8,0.1,1.9,2.4,13.8,1730,9.1,21.9,0.416,2.4,7.3,0.321,6.8,14.6,0.465,6.2,7.2,0.861,0.8,2.9,3.7,5.2,1.5,0.2,3.7,4.6,26.8,106,114,1730,14.0,0.534,0.335,0.329,1.7,7.0,4.2,16.7,1.5,0.3,12.9,24.5,1.8,0.4,2.1,0.059,0.3,-1.8,-1.4,0.2,82.0,19780,2940,6602,0.445,374,1190,0.314,2566,5412,0.474,1455,1998,0.728,1053,2242,3295,1591,596,313,1100,1822,7709,82.0,19780,2965,6172,0.48,568,1514,0.375,2397,4658,0.515,1630,2124,0.767,814,2420,3234,1898,549,401,1174,1702,8128,27,55,26,56,-5.11,0.09,-5.02,105.6,111.4,88.5,0.303,0.18,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,The Palace of Auburn Hills,768826
6,2010-11,2011,Ben Gordon,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,DET,NBA,SG,82,27,26.0,4.1,9.4,0.44,1.3,3.2,0.402,2.8,6.1,0.46,0.51,1.7,2.0,0.85,0.5,1.9,2.4,2.1,0.6,0.2,1.7,2.2,11.2,2131,8.6,19.5,0.44,2.7,6.7,0.402,5.9,12.7,0.46,3.4,4.0,0.85,1.0,3.9,4.9,4.3,1.2,0.4,3.6,4.5,23.3,104,115,2131,12.4,0.548,0.345,0.208,2.2,9.3,5.6,13.2,1.2,0.6,14.4,21.5,1.3,0.3,1.7,0.037,-0.6,-1.9,-2.5,-0.3,82.0,19880,3056,6647,0.46,472,1256,0.376,2584,5391,0.479,1367,1854,0.737,931,2236,3167,1730,595,328,1067,1629,7951,82.0,19880,3110,6405,0.486,523,1461,0.358,2587,4944,0.523,1503,1962,0.766,866,2470,3336,1910,568,381,1160,1545,8246,30,52,31,51,-3.6,-0.18,-3.78,107.7,111.7,89.2,0.279,0.189,0.495,12.5,27.4,0.206,0.526,13.8,72.1,0.235,The Palace of Auburn Hills,683080
7,2011-12,2012,Ben Gordon,-1.0,0.0,0.0,0.0,false,1.0,0.0,500.0,28,DET,NBA,SG,52,21,26.9,4.5,10.2,0.442,1.2,2.8,0.429,3.3,7.4,0.446,0.501,2.3,2.6,0.86,0.3,2.1,2.3,2.4,0.7,0.2,2.2,2.2,12.5,1398,9.0,20.4,0.442,2.4,5.7,0.429,6.6,14.7,0.446,4.5,5.2,0.86,0.5,4.1,4.7,4.9,1.3,0.4,4.4,4.4,24.9,101,109,1398,13.5,0.549,0.277,0.257,1.2,9.5,5.2,16.5,1.3,0.6,16.3,23.3,1.0,0.7,1.7,0.058,-0.3,-1.4,-1.7,0.1,66.0,15965,2291,5232,0.438,317,916,0.346,1974,4316,0.457,1098,1461,0.752,775,1882,2657,1232,460,278,1033,1293,5997,66.0,15965,2378,5147,0.462,395,1114,0.355,1983,4033,0.492,1162,1518,0.765,703,1985,2688,1485,563,348,959,1283,6313,25,41,22,44,-4.79,-0.4,-5.19,101.0,106.3,89.2,0.279,0.175,0.468,15.0,28.1,0.21,0.5,14.2,72.8,0.226,The Palace of Auburn Hills,475638
8,2012-13,2013,Ben Gordon,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,CHA,NBA,SG,75,0,20.8,4.1,10.1,0.408,1.5,3.9,0.387,2.6,6.2,0.421,0.482,1.4,1.7,0.843,0.2,1.5,1.7,1.9,0.5,0.2,1.8,1.8,11.2,1560,10.4,25.6,0.408,3.8,9.8,0.387,6.6,15.7,0.421,3.6,4.3,0.843,0.6,3.8,4.4,4.7,1.2,0.5,4.6,4.5,28.3,96,115,1560,12.7,0.515,0.384,0.167,1.3,8.5,4.8,17.6,1.2,0.8,14.3,27.8,-0.4,-0.2,-0.6,-0.018,-0.2,-3.2,-3.4,-0.6,82.0,19805.0,2823.0,6649.0,0.425,469.0,1399.0,0.335,2354.0,5250.0,0.448,1546.0,2060.0,0.75,917.0,2389.0,3306.0,1587.0,591.0,479.0,1153.0,1561.0,7661.0,82.0,19805.0,3185.0,6762.0,0.471,716.0,1847.0,0.388,2469.0,4915.0,0.502,1332.0,1784.0,0.747,971.0,2645.0,3616.0,2071.0,569.0,565.0,1152.0,1746.0,8418.0,21,61,17,65,-9.23,-0.06,-9.29,101.5,111.5,91.5,0.31,0.21,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,628293
9,2013-14,2014,Ben Gordon,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,CHA,NBA,SG,19,0,14.7,1.9,5.7,0.343,0.4,1.5,0.276,1.5,4.2,0.367,0.38,0.9,1.1,0.81,0.2,1.3,1.4,1.1,0.5,0.1,1.1,0.9,5.2,279,6.9,20.1,0.343,1.5,5.4,0.276,5.4,14.7,0.367,3.2,3.9,0.81,0.6,4.5,5.0,3.9,1.9,0.4,3.9,3.3,18.4,80,105,279,6.4,0.422,0.269,0.194,1.2,9.8,5.5,12.2,1.9,0.6,15.2,22.9,-0.7,0.3,-0.3,-0.058,-5.8,-0.3,-6.0,-0.3,82.0,19905.0,2976.0,6730.0,0.442,516.0,1471.0,0.351,2460.0,5259.0,0.468,1474.0,2000.0,0.737,776.0,2724.0,3500.0,1778.0,499.0,421.0,1010.0,1493.0,7942.0,82.0,19905.0,3022.0,6838.0,0.442,665.0,1800.0,0.369,2357.0,5038.0,0.468,1251.0,1649.0,0.759,785.0,2766.0,3551.0,1718.0,514.0,415.0,1090.0,1716.0,7960.0,43,39,40,42,-0.22,-0.67,-0.89,103.6,103.8,92.4,0.297,0.219,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,636268
