,Season,Year,Player_name,Rank,Dpoy_titles,Dpoy_votes,First_votes,won_dpoy_last_season,teamates_with_dpoy,Points_won,Max_points,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_100_poss,FG_100_poss,FGA_100_poss,FG%_100_poss,3P_100_poss,3PA_100_poss,3P%_100_poss,2P_100_poss,2PA_100_poss,2P%_100_poss,FT_100_poss,FTA_100_poss,FT%_100_poss,ORB_100_poss,DRB_100_poss,TRB_100_poss,AST_100_poss,STL_100_poss,BLK_100_poss,TOV_100_poss,PF_100_poss,PTS_100_poss,ORtg_100_poss,DRtg_100_poss,MP_advanced,PER_advanced,TS%_advanced,3PAr_advanced,FTr_advanced,ORB%_advanced,DRB%_advanced,TRB%_advanced,AST%_advanced,STL%_advanced,BLK%_advanced,TOV%_advanced,USG%_advanced,OWS_advanced,DWS_advanced,WS_advanced,WS/48_advanced,OBPM_advanced,DBPM_advanced,BPM_advanced,VORP_advanced,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,G_opponent,MP_opponent,FG_opponent,FGA_opponent,FG%_opponent,3P_opponent,3PA_opponent,3P%_opponent,2P_opponent,2PA_opponent,2P%_opponent,FT_opponent,FTA_opponent,FT%_opponent,ORB_opponent,DRB_opponent,TRB_opponent,AST_opponent,STL_opponent,BLK_opponent,TOV_opponent,PF_opponent,PTS_opponent,W_misc,L_misc,PW_misc,PL_misc,MOV_misc,SOS_misc,SRS_misc,ORtg_misc,DRtg_misc,Pace_misc,FTr_misc,3PAr_misc,eFG%_misc,TOV%_misc,ORB%_misc,FT/FGA_misc,eFG%.1_misc,TOV%.1_misc,DRB%_misc,FT/FGA.1_misc,Arena_misc,Attendance_misc
0,2014-15,2015,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,BOS,NBA,PF,5,0,1.8,0.8,1.0,0.8,0.0,0.0,,0.8,1.0,0.8,0.8,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.4,0.0,0.4,0.2,1.8,9,22.3,27.8,0.8,0.0,0.0,,22.3,27.8,0.8,5.6,11.1,0.5,0.0,5.6,5.6,0.0,11.1,0.0,11.1,5.6,50.1,94,86,9,34.9,0.765,0.0,0.4,0.0,12.3,6.1,0.0,11.1,0.0,25.4,38.3,0.0,0.0,0.0,0.138,4.0,8.9,12.9,0.0,82.0,19880,3193,7211,0.443,660,2021,0.327,2533,5190,0.488,1266,1678,0.754,910,2685,3595,2009,674,294,1133,1738,8312,82.0,19880,3125,6943,0.45,607,1804,0.336,2518,5139,0.49,1442,1909,0.755,893,2772,3665,1798,583,431,1239,1545,8299,40,42,41,41,0.16,-0.56,-0.4,104.7,104.5,95.8,0.233,0.28,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208,TD Garden,721350
1,2014-15,2015,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,23,DAL,NBA,PF,24,0,9.5,1.1,2.6,0.435,0.1,0.5,0.273,1.0,2.1,0.471,0.46,1.0,1.3,0.774,0.8,1.3,2.0,0.4,0.3,0.3,0.4,1.6,3.4,227,6.0,13.8,0.435,0.7,2.4,0.273,5.3,11.3,0.471,5.3,6.9,0.774,4.0,6.9,10.9,2.0,1.6,1.3,2.0,8.7,18.0,112,106,227,13.0,0.535,0.177,0.5,8.7,15.0,11.8,5.7,1.6,2.1,10.6,16.6,0.3,0.2,0.6,0.121,-1.9,0.3,-1.6,0.0,82.0,19880,3255,7036,0.463,732,2082,0.352,2523,4954,0.509,1386,1843,0.752,858,2608,3466,1846,663,371,1062,1644,8628,82.0,19880,3117,6930,0.45,741,2034,0.364,2376,4896,0.485,1415,1879,0.753,1006,2778,3784,1830,602,314,1339,1816,8390,50,32,49,33,2.9,0.46,3.36,109.5,106.4,95.2,0.262,0.296,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,827702
2,2015-16,2016,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,24,DAL,NBA,PF,69,2,14.4,2.1,4.3,0.493,0.0,0.2,0.125,2.1,4.1,0.514,0.497,1.5,2.1,0.739,1.2,2.7,4.0,0.6,0.5,0.3,0.6,1.7,5.8,992,7.5,15.2,0.493,0.1,0.8,0.125,7.4,14.4,0.514,5.4,7.3,0.739,4.3,9.7,14.0,2.3,1.8,1.2,2.1,6.1,20.5,114,104,992,16.8,0.557,0.054,0.48,9.3,20.9,15.1,7.2,1.8,2.0,10.0,18.4,1.8,1.3,3.1,0.151,-0.6,0.7,0.1,0.5,82.0,20005,3064,6900,0.444,806,2342,0.344,2258,4558,0.495,1454,1831,0.794,751,2781,3532,1813,560,306,1047,1595,8388,82.0,20005,3144,6971,0.451,743,2170,0.342,2401,4801,0.5,1382,1873,0.738,868,2887,3755,1800,617,363,1142,1757,8413,42,40,40,42,-0.3,0.29,-0.02,106.7,107.0,94.3,0.265,0.339,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,825901
3,2016-17,2017,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,25,DAL,NBA,C,77,3,17.3,2.5,4.9,0.515,0.3,1.0,0.284,2.2,3.9,0.571,0.542,1.4,1.8,0.759,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,1333,7.6,14.7,0.515,0.8,2.9,0.284,6.8,11.8,0.571,4.2,5.5,0.759,3.6,8.3,11.9,1.9,2.4,1.5,1.3,5.3,20.1,120,105,1333,17.6,0.588,0.196,0.374,7.7,19.5,13.3,6.1,2.4,2.6,7.2,16.7,2.7,1.9,4.6,0.165,-0.1,1.1,1.0,1.0,82.0,19780,2968,6750,0.44,878,2473,0.355,2090,4277,0.489,1215,1516,0.801,647,2516,3163,1705,614,307,972,1567,8029,82.0,19780,3035,6477,0.469,788,2074,0.38,2247,4403,0.51,1411,1827,0.772,727,2923,3650,1743,535,280,1225,1591,8269,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,92.2,0.225,0.366,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366
4,2017-18,2018,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,26,DAL,NBA,C,79,25,21.2,3.2,5.4,0.593,0.4,1.1,0.333,2.9,4.4,0.656,0.626,1.7,2.3,0.719,1.7,3.9,5.6,1.2,0.8,0.4,0.7,2.4,8.5,1672,7.7,12.9,0.593,0.8,2.5,0.333,6.8,10.4,0.656,4.0,5.6,0.719,4.1,9.3,13.3,2.7,2.0,1.0,1.8,5.6,20.1,129,107,1672,18.8,0.656,0.195,0.43,8.7,21.3,14.7,8.5,2.0,1.7,10.3,15.5,4.6,2.1,6.6,0.191,0.6,1.0,1.6,1.5,82.0,19805,3128,7042,0.444,967,2688,0.36,2161,4354,0.496,1167,1530,0.763,666,2717,3383,1858,578,310,1008,1578,8390,82.0,19805,3219,6870,0.469,874,2411,0.363,2345,4459,0.526,1327,1754,0.757,725,3027,3752,1929,594,369,1127,1604,8639,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,95.6,0.217,0.382,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,American Airlines Center,811453
5,2018-19,2019,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,27,DAL,NBA,C,77,22,21.6,3.8,6.3,0.597,0.5,1.6,0.307,3.3,4.7,0.699,0.637,2.5,3.3,0.772,1.8,3.5,5.3,1.5,0.6,0.6,0.9,2.6,10.6,1662,8.5,14.2,0.597,1.1,3.7,0.307,7.3,10.5,0.699,5.7,7.4,0.772,4.1,7.9,12.0,3.3,1.3,1.5,2.0,5.9,23.8,135,110,1662,20.4,0.682,0.261,0.523,9.1,17.3,13.2,10.7,1.3,2.6,10.1,17.2,5.6,1.9,7.5,0.215,2.0,0.9,2.9,2.1,82.0,19780,3182,7122,0.447,1022,3002,0.34,2160,4120,0.524,1541,2076,0.742,832,2884,3716,1918,533,351,1167,1650,8927,82.0,19780,3357,7315,0.459,918,2667,0.344,2439,4648,0.525,1400,1802,0.777,836,2840,3676,2011,643,368,1065,1905,9032,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,99.0,0.291,0.422,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569
6,2019-20,2020,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,28,DAL,NBA,C,40,37,26.5,3.7,5.7,0.638,0.3,1.0,0.256,3.4,4.8,0.716,0.659,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4,1061,6.7,10.4,0.638,0.5,1.8,0.256,6.2,8.7,0.716,3.4,5.1,0.667,3.4,6.9,10.3,2.7,1.5,1.0,1.6,4.6,17.1,134,111,1061,15.9,0.677,0.17,0.485,7.5,14.8,11.2,7.7,1.5,1.8,11.5,12.6,2.6,1.0,3.6,0.162,0.4,0.9,1.3,0.9,75.0,18175,3124,6772,0.461,1136,3095,0.367,1988,3677,0.541,1392,1787,0.779,791,2729,3520,1849,460,363,953,1462,8776,75.0,18175,3143,6868,0.458,919,2615,0.351,2224,4253,0.523,1200,1578,0.76,782,2625,3407,1794,525,311,896,1601,8405,43,32,49,26,4.95,-0.07,4.87,116.7,111.7,99.3,0.264,0.457,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,682096
7,2020-21,2021,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,29,DAL,NBA,C,58,19,16.7,2.1,3.3,0.619,0.1,0.4,0.238,2.0,3.0,0.665,0.631,1.7,2.1,0.782,1.4,2.7,4.0,1.1,0.6,0.5,0.7,2.3,5.9,966,6.1,9.9,0.619,0.3,1.1,0.238,5.9,8.8,0.665,5.0,6.3,0.782,4.1,7.9,11.9,3.2,1.8,1.5,2.0,6.9,17.5,136,110,966,16.8,0.688,0.108,0.639,9.2,17.4,13.3,8.9,1.8,2.9,13.9,13.2,2.6,1.2,3.8,0.188,-0.7,1.3,0.6,0.6,72.0,17305,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,1186,1524,0.778,657,2463,3120,1647,450,311,869,1396,8096,72.0,17305,2885,6269,0.46,925,2537,0.365,1960,3732,0.525,1238,1621,0.764,704,2460,3164,1631,527,264,908,1446,7933,42,30,41,31,2.26,-0.01,2.26,115.4,113.0,97.3,0.242,0.436,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,94849
8,2021-22,2022,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,30,DAL,NBA,C,82,71,21.9,3.3,4.9,0.671,0.2,0.5,0.351,3.1,4.4,0.703,0.687,2.0,2.6,0.783,2.1,2.8,4.9,1.2,0.5,0.5,0.8,2.7,8.7,1798,7.5,11.2,0.671,0.4,1.0,0.351,7.2,10.2,0.703,4.6,5.9,0.783,4.8,6.5,11.3,2.7,1.0,1.1,1.8,6.2,20.1,142,110,1798,18.1,0.725,0.092,0.529,10.7,14.3,12.5,8.1,1.0,2.0,11.5,14.0,6.0,2.2,8.2,0.219,0.4,0.5,0.9,1.3,82.0,19755,3222,6982,0.461,1073,3063,0.35,2149,3919,0.548,1341,1739,0.771,759,2769,3528,1918,552,325,1025,1612,8858,82.0,19755,3198,7001,0.457,895,2635,0.34,2303,4366,0.527,1296,1689,0.767,780,2799,3579,1925,575,300,1073,1645,8587,52,30,50,32,3.3,-0.18,3.12,112.8,109.4,95.4,0.249,0.439,0.538,11.7,21.3,0.192,0.521,12.2,78.0,0.185,American Airlines Center,808037
9,2022-23,2023,Dwight Powell,-1.0,0.0,0.0,0.0,false,0.0,0.0,500.0,31,DAL,NBA,C,76,64,19.2,2.6,3.5,0.732,0.0,0.1,0.0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2.0,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,1458,6.7,9.2,0.732,0.0,0.2,0.0,6.7,9.0,0.746,3.8,5.7,0.667,5.1,5.6,10.7,2.4,1.6,0.9,2.2,7.1,17.3,140,116,1458,15.5,0.738,0.019,0.625,11.8,13.3,12.5,6.9,1.6,1.6,15.9,12.6,3.8,1.3,5.1,0.168,-1.2,0.0,-1.2,0.3,82.0,19930,3283,6909,0.475,1246,3362,0.371,2037,3547,0.574,1554,2057,0.755,625,2556,3181,1880,514,304,1002,1697,9366,82.0,19930,3425,7065,0.485,913,2596,0.352,2512,4469,0.562,1597,2046,0.781,830,2838,3668,2044,522,312,1075,1789,9360,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,96.6,0.298,0.487,0.565,11.4,18.0,0.225,0.549,11.9,75.5,0.226,American Airlines Center,827282
